form,freq
tsɯ˨˩˦,1
tsʊŋ˨˩˦,1
tsweɪ˥˩,1
tsweɪ˥˩,1
tsweɪ˨˩˦,1
tu˥˥,1
tu˥˩,1
tu˧˥,1
tuən˥˩,1
tuɔ˥˥,1
tuɔ˥˥,1
tuɔ˥˥,1
tʊŋ˥˥,1
tʊŋ˥˩,1
tʊŋ˨˩˦,1
twan˥˥,1
twan˥˩,1
tweɪ˥˩,1
tweɪ˥˩,1
ʈʂa˥˩,1
ʈʂan˥˩,1
ʈʂan˥˩,1
ʈʂɑŋ˥˥,1
ʈʂɑŋ˥˩,1
ʈʂɑʊ˥˩,1
ʈʂɑʊ˥˩,1
ʈʂɑʊ˧˥,1
ʈʂɑʊ˨˩˦,1
ʈʂɑʊ˨˩˦,1
ʈʂən˥˥,1
ʈʂən˥˥,1
ʈʂən˥˥,1
ʈʂɚ˥˥,1
ʈʂɚ˥˥,1
ʈʂɚ˥˥,1
ʈʂɚ˥˥,1
ʈʂɚ˥˥,1
ʈʂɚ˥˩,1
ʈʂɚ˥˩,1
ʈʂɚ˧˥,1
ʈʂɚ˨˩˦,1
ʈʂɚ˨˩˦,1
ʈʂɤ˥˩,1
ʈʂɤ˨˩˦,1
ʈʂɤŋ˥˥,1
ʈʂɤŋ˥˩,1
ʈʂɤŋ˥˩,1
ʈʂɤŋ˨˩˦,1
ʈʂʰa˥˩,1
ʈʂʰa˧˥,1
ʈʂʰan˨˩˦,1
ʈʂʰɑŋ˧˥,1
ʈʂʰɑŋ˧˥,1
ʈʂʰɑŋ˧˥,1
ʈʂʰɑʊ˥˥,1
ʈʂʰɚ˥˥,1
ʈʂʰɤ˥˥,1
ʈʂʰɤŋ˧˥,1
ʈʂʰɤŋ˧˥,1
ʈʂʰɤŋ˧˥,1
ʈʂʰɤŋ˧˥,1
ʈʂʰɤŋ˧˥,1
ʈʂʰu˥˥,1
ʈʂʰu˥˥,1
ʈʂʰu˥˩,1
ʈʂʰwan˥˥,1
ʈʂʰwan˧˥,1
ʈʂʰwan˧˥,1
ʈʂoʊ˥˥,1
ʈʂoʊ˥˥,1
ʈʂu˥˩,1
ʈʂu˥˩,1
ʈʂu˥˩,1
ʈʂu˥˩,1
ʈʂu˥˩,1
ʈʂu˧˥,1
ʈʂu˨˩˦,1
ʈʂuən˨˩˦,1
ʈʂʊŋ˥˥,1
ʈʂʊŋ˥˥,1
ʈʂʊŋ˥˥,1
ʈʂʊŋ˥˩,1
ʈʂʊŋ˨˩˦,1
ʈʂwa˥˥,1
ʈʂwa˥˥,1
ʈʂwan˨˩˦,1
ʈʂwɑŋ˥˥,1
ʈʂweɪ˥˥,1
u˥˩,1
u˥˩,1
u˧˥,1
u˨˩˦,1
u˨˩˦,1
u˨˩˦,1
uaɪ˥˩,1
uaɪ˥˩,1
uən˥˩,1
uən˧˥,1
uɔ˨˩˦,1
uɔ˨˩˦,1
uɔ˨˩˦,1
ɥœ˥˥,1
ɥœ˥˩,1
ɥœn˥˩,1
ɥœn˥˩,1
ɥœn˧˥,1
ɥœn˧˥,1
ɥœn˧˥,1
ɥœn˨˩˦,1
wa˥˥,1
wa˨˩˦,1
wan˥˩,1
wan˧˥,1
wan˧˥,1
wan˧˥,1
wan˧˥,1
wan˨˩˦,1
wan˨˩˦,1
wɑŋ˥˩,1
wɑŋ˧˥,1
weɪ˥˥,1
weɪ˥˥,1
weɪ˥˩,1
weɪ˥˩,1
weɪ˥˩,1
weɪ˥˩,1
weɪ˧˥,1
weɪ˧˥,1
xa˥˥,1
xaɪ˥˥,1
xaɪ˥˩,1
xaɪ˥˩,1
xaɪ˧˥,1
xaɪ˨˩˦,1
xɑʊ˥˩,1
xɑʊ˨˩˦,1
xɑʊ˨˩˦,1
xɑʊ˨˩˦,1
xeɪ˥˥,1
xeɪ˥˥,1
xən˨˩˦,1
xɤ˥˥,1
xɤ˧˥,1
xɤ˧˥,1
xɤ˧˥,1
xoʊ˥˩,1
xoʊ˥˩,1
xu˥˩,1
xuaɪ˥˩,1
xuaɪ˧˥,1
xuən˥˥,1
xuən˥˩,1
xuɔ˥˩,1
xuɔ˥˩,1
xuɔ˧˥,1
xuɔ˨˩˦,1
xuɔ˨˩˦,1
xʊŋ˧˥,1
xwa˥˥,1
xwa˥˩,1
xwa˥˩,1
xwa˥˩,1
xwa˥˩,1
xwa˧˥,1
xwan˥˥,1
xwan˥˩,1
xwan˧˥,1
xweɪ˥˩,1
xweɪ˧˥,1
xweɪ˧˥,1
xweɪ˨˩˦,1
y˥˩,1
y˧˥,1
y˧˥,1
y˧˥,1
y˨˩˦,1
y˨˩˦,1
yn˥˩,1
ʐan˧˥,1
ʐan˧˥,1
ʐɑŋ˥˩,1
ʐən˥˩,1
ʐən˥˩,1
ʐən˥˩,1
ʐən˧˥,1
ʐɚ˥˩,1
ʐɤ˥˩,1
ʐu˥˩,1
ʐu˧˥,1
ʐu˧˥,1
ʐu˧˥,1
ʐweɪ˥˩,1
