word,freq,english,german,sound,spell
veːɐt,1,0,1,1,0
veːk,1,0,1,1,0
vɛːln,1,0,1,1,0
vɛlt,1,0,1,1,0
viːɐ,1,0,1,1,0
vokaːl,1,0,1,1,0
vɔln,1,0,1,1,0
zaːɡŋ,1,0,1,1,0
zaːmen,1,0,1,1,0
zamln,1,0,1,1,0
zaɔɐʃtɔf,1,0,1,1,0
zaxe,1,0,1,1,0
zɛltzaːm,1,0,1,1,0
zɛtsn,1,0,1,1,0
ziːbm,1,0,1,1,0
zɪçɐ,1,0,1,1,0
zɪlbɐ,1,0,1,1,0
zɪlbe,1,0,1,1,0
zɔne,1,0,1,1,0
zuːxe,1,0,1,1,0
zyːdn,1,0,1,1,0
zaɛn,1,0,1,1,0
zaɛt,1,0,1,1,0
zanft,1,0,1,1,0
zant,1,0,1,1,0
zats,1,0,1,1,0
zeː,1,0,1,1,0
zɛɡmɛnt,1,0,1,1,0
zɛks,1,0,1,1,0
zɛzɔŋ,1,0,1,1,0
ziː,1,0,1,1,0
zoːn,1,0,1,1,0
zɔldaːt,1,0,1,1,0
zɔnst,1,0,1,1,0
zʊpstants,1,0,1,1,0
zʏsteːm,1,0,1,1,0
balt,1,0,1,1,0
baɔm,1,0,1,1,0
blɪk,1,0,1,1,0
bluːt,1,0,1,1,0
boːt,1,0,1,1,0
bɔːɐt,1,0,1,1,0
bʁoːt,1,0,1,1,0
dampf,1,0,1,1,0
dan,1,0,1,1,0
das,1,0,1,1,0
dʁʊk,1,0,1,1,0
duːɐ,1,0,1,1,0
dʏn,1,0,1,1,0
faːʁt,1,0,1,1,0
faɛnt,1,0,1,1,0
fal,1,0,1,1,0
fɛt,1,0,1,1,0
flaɛʃ,1,0,1,1,0
flʊs,1,0,1,1,0
fɔl,1,0,1,1,0
fɔʁm,1,0,1,1,0
fʁɪʃ,1,0,1,1,0
fʁɔnt,1,0,1,1,0
fʁɔœnt,1,0,1,1,0
ɡlaːs,1,0,1,1,0
ɡlaɛç,1,0,1,1,0
ɡʁaɔ,1,0,1,1,0
ɡuːt,1,0,1,1,0
haːʁ,1,0,1,1,0
hals,1,0,1,1,0
hant,1,0,1,1,0
haɔs,1,0,1,1,0
hɛl,1,0,1,1,0
hoːf,1,0,1,1,0
huːt,1,0,1,1,0
iːm,1,0,1,1,0
ɪç,1,0,1,1,0
ʝaːkt,1,0,1,1,0
ʝɛtst,1,0,1,1,0
kaːm,1,0,1,1,0
kampf,1,0,1,1,0
kɪnt,1,0,1,1,0
klaɛn,1,0,1,1,0
klaɛt,1,0,1,1,0
klʊft,1,0,1,1,0
kɔpf,1,0,1,1,0
kɔx,1,0,1,1,0
kʁaɛs,1,0,1,1,0
kʁaft,1,0,1,1,0
kʊnst,1,0,1,1,0
kvaʁt,1,0,1,1,0
kyːln,1,0,1,1,0
liːf,1,0,1,1,0
lɪŋks,1,0,1,1,0
lɔx,1,0,1,1,0
maxt,1,0,1,1,0
meːɐ,1,0,1,1,0
moːnt,1,0,1,1,0
